reactionId	solver	compartment	r ; p	ratelaw	parameter1	parameter2	parameter3	parameter4	parameter5	parameter6	parameter7	parameter8
vRP24_12	Deterministic	Cytoplasm	cyt_mixed_p_NRG1__ERBB3__ERBB4__GRB2__SOS1__RAS__GDP_ ; cyt_prot_p_NRG1__ERBB3__ERBB4__GRB2__SOS1_ + cyt_mixed_RAS__GTP_	1.00E+01								
vRP24_13	Deterministic	Cytoplasm	cyt_mixed_p_NRG1__ERBB3__NRG1__ERBB4__GRB2__SOS1__RAS__GDP_ ; cyt_prot_p_NRG1__ERBB3__NRG1__ERBB4__GRB2__SOS1_ + cyt_mixed_RAS__GTP_	1.00E+01								
vRP24_14	Deterministic	Cytoplasm	cyt_mixed_p_ERBB2__NRG1__ERBB4__GRB2__SOS1__RAS__GDP_ ; cyt_prot_p_ERBB2__NRG1__ERBB4__GRB2__SOS1_ + cyt_mixed_RAS__GTP_	1.00E+01								
vRP24_15	Deterministic	Cytoplasm	cyt_mixed_p_NRG1__ERBB4__EGFRvIII__GRB2__SOS1__RAS__GDP_ ; cyt_prot_p_NRG1__ERBB4__EGFRvIII__GRB2__SOS1_ + cyt_mixed_RAS__GTP_	1.00E+01								
vRP24_16	Deterministic	Cytoplasm	cyt_mixed_p_EGFR__NRG1__ERBB4__GRB2__SOS1__RAS__GDP_ ; cyt_prot_p_EGFR__NRG1__ERBB4__GRB2__SOS1_ + cyt_mixed_RAS__GTP_	1.00E+01								
vRP24_17	Deterministic	Cytoplasm	cyt_mixed_p_ERBB3__NRG1__ERBB4__GRB2__SOS1__RAS__GDP_ ; cyt_prot_p_ERBB3__NRG1__ERBB4__GRB2__SOS1_ + cyt_mixed_RAS__GTP_	1.00E+01								
vRP24_18	Deterministic	Cytoplasm	cyt_mixed_p_NRG1__ERBB4__ERBB4__GRB2__SOS1__RAS__GDP_ ; cyt_prot_p_NRG1__ERBB4__ERBB4__GRB2__SOS1_ + cyt_mixed_RAS__GTP_	1.00E+01								
vRP24_19	Deterministic	Cytoplasm	cyt_mixed_p_NRG1__ERBB4__NRG1__ERBB4__GRB2__SOS1__RAS__GDP_ ; cyt_prot_p_NRG1__ERBB4__NRG1__ERBB4__GRB2__SOS1_ + cyt_mixed_RAS__GTP_	1.00E+01								
vRP24_20	Deterministic	Cytoplasm	cyt_mixed_p_HGF__MET__MET__GRB2__SOS1__RAS__GDP_ ; cyt_prot_p_HGF__MET__MET__GRB2__SOS1_ + cyt_mixed_RAS__GTP_	1.00E+01								
vRP24_21	Deterministic	Cytoplasm	cyt_mixed_p_HGF__MET__HGF__MET__GRB2__SOS1__RAS__GDP_ ; cyt_prot_p_HGF__MET__HGF__MET__GRB2__SOS1_ + cyt_mixed_RAS__GTP_	1.00E+01								
vRP24_22	Deterministic	Cytoplasm	cyt_mixed_p_PDGFB__PDGFRB__PDGFB__PDGFRB__GRB2__SOS1__RAS__GDP_ ; cyt_prot_p_PDGFB__PDGFRB__PDGFB__PDGFRB__GRB2__SOS1_ + cyt_mixed_RAS__GTP_	1.00E+01								
vRP24_23	Deterministic	Cytoplasm	cyt_mixed_p_PDGFB__PDGFRB__PDGFRB__GRB2__SOS1__RAS__GDP_ ; cyt_prot_p__PDGFB__PDGFRB__PDGFRB__GRB2__SOS1_ + cyt_mixed_RAS__GTP_	1.00E+01								
vRP24_24	Deterministic	Cytoplasm	pFFrFFr_G2_SOS_RasD ; cyt_prot_p_FGF__FGFR__FGF__FGFR__GRB2__SOS1_ + cyt_mixed_RAS__GTP_	1.00E+01								
vRP24_25	Deterministic	Cytoplasm	cyt_mixed_p_FGF__FGFR__FGFR__GRB2__SOS1__RAS__GDP_ ; cyt_prot_p_FGF__FGFR__FGFR__GRB2__SOS1_ + cyt_mixed_RAS__GTP_	1.00E+01								
vRP24_26	Deterministic	Cytoplasm	cyt_mixed_p_IGF__IGF1R_IGFLR1__IRS__GRB2__SOS1__RAS__GDP_ ; cyt_prot_p_IGF__IGF1R__IGF1R__IRS__GRB2__SOS1_ + cyt_mixed_RAS__GTP_	1.00E+01								
vRP24_27	Deterministic	Cytoplasm	cyt_mixed_p_INS__INSR__INSR__IRS__GRB2__SOS1__RAS__GDP_ ; cyt_prot_p_INS__INSR__INSR__IRS__GRB2__SOS1_ + cyt_mixed_RAS__GTP_	1.00E+01								
vRP24_28	Deterministic	Cytoplasm	cyt_mixed_p_IGF__IGF1R__IGF1R__IGF__IRS__GRB2__SOS1__RAS__GDP_ ; cyt_prot_p_IGF__IGF1R__IGF1R__IGF__IRS__GRB2__SOS1_ + cyt_mixed_RAS__GTP_	1.00E+01								
vRP24_29	Deterministic	Cytoplasm	cyt_mixed_p_INS__INSR__INSR__INS_IRS__GRB2__SOS1__RAS__GDP_ ; cyt_prot_p_INS__INSR__INSR__INS__IRS__GRB2__SOS1_ + cyt_mixed_RAS__GTP_	1.00E+01								
vRP25_1	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__ERBB2__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_EGF__EGFR__ERBB2__PLCG__PIP2_	1.00E-03								
vRP25_2	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__EGFRvIII__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_EGF__EGFR__EGFRvIII__PLCG__PIP2_	1.00E-03								
vRP25_3	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__EGFR__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_EGF__EGFR__EGFR__PLCG__PIP2_	1.00E-03								
vRP25_4	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__EGF__EGFR_PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_EGF__EGFR__EGF__EGFR__PLCG__PIP2_	1.00E-03								
vRP25_5	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__ERBB3__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_EGF__EGFR__ERBB3__PLCG__PIP2_	1.00E-03								
vRP25_6	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__NRG1__ERBB3__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_EGF__EGFR__NRG1__ERBB3__PLCG__PIP2_	1.00E-03								
vRP25_7	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__ERBB4__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_EGF__EGFR__ERBB4__PLCG__PIP2_	1.00E-03								
vRP25_8	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__NRG1__ERBB4__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_EGF__EGFR__NRG1__ERBB4__PLCG__PIP2_	1.00E-03								
vRP25_9	Deterministic	Cytoplasm	cyt_prot_p_ERBB2__NRG1__ERBB3__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_ERBB2__NRG1__ERBB3__PLCG__PIP2_	1.00E-03								
vRP25_10	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB3__EGFRvIII__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_NRG1__ERBB3__EGFRvIII__PLCG__PIP2_	1.00E-03								
vRP25_11	Deterministic	Cytoplasm	cyt_prot_p_EGFR__NRG1__ERBB3__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_EGFR__NRG1__ERBB3__PLCG__PIP2_	1.00E-03								
vRP25_12	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB3__ERBB4__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_NRG1__ERBB3__ERBB4__PLCG__PIP2_	1.00E-03								
vRP25_13	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB3__NRG1__ERBB4__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_NRG1__ERBB3__NRG1__ERBB4__PLCG__PIP2_	1.00E-03								
vRP25_14	Deterministic	Cytoplasm	cyt_prot_p_ERBB2__NRG1__ERBB4__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_ERBB2__NRG1__ERBB4__PLCG__PIP2_	1.00E-03								
vRP25_15	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB4__EGFRvIII__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_NRG1__ERBB4__EGFRvIII__PLCG__PIP2_	1.00E-03								
vRP25_16	Deterministic	Cytoplasm	cyt_prot_p_EGFR__NRG1__ERBB4__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_EGFR__NRG1__ERBB4__PLCG__PIP2_	1.00E-03								
vRP25_17	Deterministic	Cytoplasm	cyt_prot_p_ERBB3__NRG1__ERBB4__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_ERBB3__NRG1__ERBB4__PLCG__PIP2_	1.00E-03								
vRP25_18	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB4__ERBB4__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_NRG1__ERBB4__ERBB4__PLCG__PIP2_	1.00E-03								
vRP25_19	Deterministic	Cytoplasm	cyt_prot_p_NRG1__ERBB4__NRG1__ERBB4__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_NRG1__ERBB4__NRG1_ERBB4__PLCG__PIP2_	1.00E-03								
vRP25_20	Deterministic	Cytoplasm	cyt_prot_p_HGF__MET__MET__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_HGF__MET__MET__PLCG__PIP2_	1.00E-03								
vRP25_21	Deterministic	Cytoplasm	cyt_prot_p_HGF__MET__HGF__MET__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_HGF__MET__HGF__MET__PLCG__PIP2_	1.00E-03								
vRP25_22	Deterministic	Cytoplasm	cyt_prot_p_PDGFB__PDGFRB__PDGFB__PDGFRB__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_PDGFB__PDGFRB__PDGFB__PDGFRB__PLCG__PIP2_	1.00E-03								
vRP25_23	Deterministic	Cytoplasm	cyt_prot_p_PDGFB__PDGFRB__PDGFRB__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_PDGFB__PDGFRB__PDGFRB__PLCG__PIP2_	1.00E-03								
vRP25_24	Deterministic	Cytoplasm	cyt_prot_p_FGF__FGFR__FGF__FGFR__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_FGF__FGFR__FGF__FGFR__PLCG__PIP2_	1.00E-03								
vRP25_25	Deterministic	Cytoplasm	cyt_prot_p_FGF__FGFR__FGFR__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_FGF__FGFR__FGFR__PLCG__PIP2_	1.00E-03								
vRP25_26	Deterministic	Cytoplasm	cyt_prot_p_IGF__IGF1R__IGF1R__IRS__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_IGF__IGF1R__IGF1R__IRS__PLCG__PIP2_	1.00E-03								
vRP25_27	Deterministic	Cytoplasm	cyt_prot_p_INS__INSR__INSR__IRS__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_INS__INSR__INSR__IRS__PLCG__PIP2_	1.00E-03								
vRP25_28	Deterministic	Cytoplasm	cyt_prot_p_IGF__IGF1R__IGF1R__IGF__IRS__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_IGF__IGF1R__IGF1R__IGF__IRS__PLCG__PIP2_	1.00E-03								
vRP25_29	Deterministic	Cytoplasm	cyt_prot_p_INS__INSR__INSR__INS__IRS__PLCG_ + cyt_lipid_PIP2_ ; cyt_mixed_p_INS__INSR__INSR__INS__IRS__PLCG__PIP2_	1.00E-03								
vRP26_1	Deterministic	Cytoplasm	cyt_mixed_p_EGF__EGFR__ERBB2__PLCG__PIP2_ ; cyt_prot_p_EGF__EGFR__ERBB2__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_2	Deterministic	Cytoplasm	cyt_mixed_p_EGF__EGFR__EGFRvIII__PLCG__PIP2_ ; cyt_prot_p_EGF__EGFR__EGFRvIII__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_3	Deterministic	Cytoplasm	cyt_mixed_p_EGF__EGFR__EGFR__PLCG__PIP2_ ; cyt_prot_p_EGF__EGFR__EGFR__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_4	Deterministic	Cytoplasm	cyt_mixed_p_EGF__EGFR__EGF__EGFR__PLCG__PIP2_ ; cyt_prot_p_EGF__EGFR__EGF__EGFR_PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_5	Deterministic	Cytoplasm	cyt_mixed_p_EGF__EGFR__ERBB3__PLCG__PIP2_ ; cyt_prot_p_EGF__EGFR__ERBB3__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_6	Deterministic	Cytoplasm	cyt_mixed_p_EGF__EGFR__NRG1__ERBB3__PLCG__PIP2_ ; cyt_prot_p_EGF__EGFR__NRG1__ERBB3__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_7	Deterministic	Cytoplasm	cyt_mixed_p_EGF__EGFR__ERBB4__PLCG__PIP2_ ; cyt_prot_p_EGF__EGFR__ERBB4__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_8	Deterministic	Cytoplasm	cyt_mixed_p_EGF__EGFR__NRG1__ERBB4__PLCG__PIP2_ ; cyt_prot_p_EGF__EGFR__NRG1__ERBB4__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_9	Deterministic	Cytoplasm	cyt_mixed_p_ERBB2__NRG1__ERBB3__PLCG__PIP2_ ; cyt_prot_p_ERBB2__NRG1__ERBB3__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_10	Deterministic	Cytoplasm	cyt_mixed_p_NRG1__ERBB3__EGFRvIII__PLCG__PIP2_ ; cyt_prot_p_NRG1__ERBB3__EGFRvIII__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_11	Deterministic	Cytoplasm	cyt_mixed_p_EGFR__NRG1__ERBB3__PLCG__PIP2_ ; cyt_prot_p_EGFR__NRG1__ERBB3__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_12	Deterministic	Cytoplasm	cyt_mixed_p_NRG1__ERBB3__ERBB4__PLCG__PIP2_ ; cyt_prot_p_NRG1__ERBB3__ERBB4__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_13	Deterministic	Cytoplasm	cyt_mixed_p_NRG1__ERBB3__NRG1__ERBB4__PLCG__PIP2_ ; cyt_prot_p_NRG1__ERBB3__NRG1__ERBB4__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_14	Deterministic	Cytoplasm	cyt_mixed_p_ERBB2__NRG1__ERBB4__PLCG__PIP2_ ; cyt_prot_p_ERBB2__NRG1__ERBB4__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_15	Deterministic	Cytoplasm	cyt_mixed_p_NRG1__ERBB4__EGFRvIII__PLCG__PIP2_ ; cyt_prot_p_NRG1__ERBB4__EGFRvIII__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_16	Deterministic	Cytoplasm	cyt_mixed_p_EGFR__NRG1__ERBB4__PLCG__PIP2_ ; cyt_prot_p_EGFR__NRG1__ERBB4__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_17	Deterministic	Cytoplasm	cyt_mixed_p_ERBB3__NRG1__ERBB4__PLCG__PIP2_ ; cyt_prot_p_ERBB3__NRG1__ERBB4__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_18	Deterministic	Cytoplasm	cyt_mixed_p_NRG1__ERBB4__ERBB4__PLCG__PIP2_ ; cyt_prot_p_NRG1__ERBB4__ERBB4__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_19	Deterministic	Cytoplasm	cyt_mixed_p_NRG1__ERBB4__NRG1_ERBB4__PLCG__PIP2_ ; cyt_prot_p_NRG1__ERBB4__NRG1__ERBB4__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_20	Deterministic	Cytoplasm	cyt_mixed_p_HGF__MET__MET__PLCG__PIP2_ ; cyt_prot_p_HGF__MET__MET__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_21	Deterministic	Cytoplasm	cyt_mixed_p_HGF__MET__HGF__MET__PLCG__PIP2_ ; cyt_prot_p_HGF__MET__HGF__MET__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_22	Deterministic	Cytoplasm	cyt_mixed_p_PDGFB__PDGFRB__PDGFB__PDGFRB__PLCG__PIP2_ ; cyt_prot_p_PDGFB__PDGFRB__PDGFB__PDGFRB__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_23	Deterministic	Cytoplasm	cyt_mixed_p_PDGFB__PDGFRB__PDGFRB__PLCG__PIP2_ ; cyt_prot_p_PDGFB__PDGFRB__PDGFRB__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_24	Deterministic	Cytoplasm	cyt_mixed_p_FGF__FGFR__FGF__FGFR__PLCG__PIP2_ ; cyt_prot_p_FGF__FGFR__FGF__FGFR__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_25	Deterministic	Cytoplasm	cyt_mixed_p_FGF__FGFR__FGFR__PLCG__PIP2_ ; cyt_prot_p_FGF__FGFR__FGFR__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_26	Deterministic	Cytoplasm	cyt_mixed_p_IGF__IGF1R__IGF1R__IRS__PLCG__PIP2_ ; cyt_prot_p_IGF__IGF1R__IGF1R__IRS__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_27	Deterministic	Cytoplasm	cyt_mixed_p_INS__INSR__INSR__IRS__PLCG__PIP2_ ; cyt_prot_p_INS__INSR__INSR__IRS__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_28	Deterministic	Cytoplasm	cyt_mixed_p_IGF__IGF1R__IGF1R__IGF__IRS__PLCG__PIP2_ ; cyt_prot_p_IGF__IGF1R__IGF1R__IGF__IRS__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP26_29	Deterministic	Cytoplasm	cyt_mixed_p_INS__INSR__INSR__INS__IRS__PLCG__PIP2_ ; cyt_prot_p_INS__INSR__INSR__INS__IRS__PLCG_ + cyt_lipid_PIP2_	1.00E-01								
vRP27_1	Deterministic	Cytoplasm	cyt_mixed_p_EGF__EGFR__ERBB2__PLCG__PIP2_ ; cyt_prot_p_EGF__EGFR__ERBB2__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_2	Deterministic	Cytoplasm	cyt_mixed_p_EGF__EGFR__EGFRvIII__PLCG__PIP2_ ; cyt_prot_p_EGF__EGFR__EGFRvIII__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_3	Deterministic	Cytoplasm	cyt_mixed_p_EGF__EGFR__EGFR__PLCG__PIP2_ ; cyt_prot_p_EGF__EGFR__EGFR__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_4	Deterministic	Cytoplasm	cyt_mixed_p_EGF__EGFR__EGF__EGFR__PLCG__PIP2_ ; cyt_prot_p_EGF__EGFR__EGF__EGFR_PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_5	Deterministic	Cytoplasm	cyt_mixed_p_EGF__EGFR__ERBB3__PLCG__PIP2_ ; cyt_prot_p_EGF__EGFR__ERBB3__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_6	Deterministic	Cytoplasm	cyt_mixed_p_EGF__EGFR__NRG1__ERBB3__PLCG__PIP2_ ; cyt_prot_p_EGF__EGFR__NRG1__ERBB3__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_7	Deterministic	Cytoplasm	cyt_mixed_p_EGF__EGFR__ERBB4__PLCG__PIP2_ ; cyt_prot_p_EGF__EGFR__ERBB4__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_8	Deterministic	Cytoplasm	cyt_mixed_p_EGF__EGFR__NRG1__ERBB4__PLCG__PIP2_ ; cyt_prot_p_EGF__EGFR__NRG1__ERBB4__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_9	Deterministic	Cytoplasm	cyt_mixed_p_ERBB2__NRG1__ERBB3__PLCG__PIP2_ ; cyt_prot_p_ERBB2__NRG1__ERBB3__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_10	Deterministic	Cytoplasm	cyt_mixed_p_NRG1__ERBB3__EGFRvIII__PLCG__PIP2_ ; cyt_prot_p_NRG1__ERBB3__EGFRvIII__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_11	Deterministic	Cytoplasm	cyt_mixed_p_EGFR__NRG1__ERBB3__PLCG__PIP2_ ; cyt_prot_p_EGFR__NRG1__ERBB3__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_12	Deterministic	Cytoplasm	cyt_mixed_p_NRG1__ERBB3__ERBB4__PLCG__PIP2_ ; cyt_prot_p_NRG1__ERBB3__ERBB4__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_13	Deterministic	Cytoplasm	cyt_mixed_p_NRG1__ERBB3__NRG1__ERBB4__PLCG__PIP2_ ; cyt_prot_p_NRG1__ERBB3__NRG1__ERBB4__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_14	Deterministic	Cytoplasm	cyt_mixed_p_ERBB2__NRG1__ERBB4__PLCG__PIP2_ ; cyt_prot_p_ERBB2__NRG1__ERBB4__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_15	Deterministic	Cytoplasm	cyt_mixed_p_NRG1__ERBB4__EGFRvIII__PLCG__PIP2_ ; cyt_prot_p_NRG1__ERBB4__EGFRvIII__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_16	Deterministic	Cytoplasm	cyt_mixed_p_EGFR__NRG1__ERBB4__PLCG__PIP2_ ; cyt_prot_p_EGFR__NRG1__ERBB4__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_17	Deterministic	Cytoplasm	cyt_mixed_p_ERBB3__NRG1__ERBB4__PLCG__PIP2_ ; cyt_prot_p_ERBB3__NRG1__ERBB4__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_18	Deterministic	Cytoplasm	cyt_mixed_p_NRG1__ERBB4__ERBB4__PLCG__PIP2_ ; cyt_prot_p_NRG1__ERBB4__ERBB4__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_19	Deterministic	Cytoplasm	cyt_mixed_p_NRG1__ERBB4__NRG1_ERBB4__PLCG__PIP2_ ; cyt_prot_p_NRG1__ERBB4__NRG1__ERBB4__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_20	Deterministic	Cytoplasm	cyt_mixed_p_HGF__MET__MET__PLCG__PIP2_ ; cyt_prot_p_HGF__MET__MET__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_21	Deterministic	Cytoplasm	cyt_mixed_p_HGF__MET__HGF__MET__PLCG__PIP2_ ; cyt_prot_p_HGF__MET__HGF__MET__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_22	Deterministic	Cytoplasm	cyt_mixed_p_PDGFB__PDGFRB__PDGFB__PDGFRB__PLCG__PIP2_ ; cyt_prot_p_PDGFB__PDGFRB__PDGFB__PDGFRB__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_23	Deterministic	Cytoplasm	cyt_mixed_p_PDGFB__PDGFRB__PDGFRB__PLCG__PIP2_ ; cyt_prot_p_PDGFB__PDGFRB__PDGFRB__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_24	Deterministic	Cytoplasm	cyt_mixed_p_FGF__FGFR__FGF__FGFR__PLCG__PIP2_ ; cyt_prot_p_FGF__FGFR__FGF__FGFR__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_25	Deterministic	Cytoplasm	cyt_mixed_p_FGF__FGFR__FGFR__PLCG__PIP2_ ; cyt_prot_p_FGF__FGFR__FGFR__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_26	Deterministic	Cytoplasm	cyt_mixed_p_IGF__IGF1R__IGF1R__IRS__PLCG__PIP2_ ; cyt_prot_p_IGF__IGF1R__IGF1R__IRS__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_27	Deterministic	Cytoplasm	cyt_mixed_p_INS__INSR__INSR__IRS__PLCG__PIP2_ ; cyt_prot_p_INS__INSR__INSR__IRS__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_28	Deterministic	Cytoplasm	cyt_mixed_p_IGF__IGF1R__IGF1R__IGF__IRS__PLCG__PIP2_ ; cyt_prot_p_IGF__IGF1R__IGF1R__IGF__IRS__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP27_29	Deterministic	Cytoplasm	cyt_mixed_p_INS__INSR__INSR__INS__IRS__PLCG__PIP2_ ; cyt_prot_p_INS__INSR__INSR__INS__IRS__PLCG_ + cyt_prot_DAG1_ + cyt_prot_ITPK_	1.00E+00								
vRP28_1	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__ERBB2__PI3K1_ + cyt_lipid_PIP2_ ; cyt_mixed_p_EGF__EGFR__ERBB2__PI3K1__PIP2_	1.00E-03								
vRP28_2	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__EGFRvIII__PI3K1_ + cyt_lipid_PIP2_ ; cyt_mixed_p_EGF__EGFR__EGFRvIII__PI3K1__PIP2_	1.00E-03								
vRP28_3	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__EGFR__PI3K1_ + cyt_lipid_PIP2_ ; cyt_mixed_p_EGF__EGFR__EGFR__PI3K1__PIP2_	1.00E-03								
vRP28_4	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__EGF__EGFR__PI3K1_ + cyt_lipid_PIP2_ ; cyt_mixed_p_EGF__EGFR__EGF__EGFR__PI3K1__PIP2_	1.00E-03								
vRP28_5	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__ERBB3__PI3K1_ + cyt_lipid_PIP2_ ; cyt_mixed_p_EGF__EGFR__ERBB3__PI3K1__PIP2_	1.00E-03								
vRP28_6	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__NRG1__ERBB3__PI3K1_ + cyt_lipid_PIP2_ ; cyt_mixed_p_EGF__EGFR__NRG1__ERBB3__PI3K1__PIP2_	1.00E-03								
vRP28_7	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__ERBB4__PI3K1_ + cyt_lipid_PIP2_ ; cyt_mixed_p_EGF__EGFR__ERBB4__PI3K1__PIP2_	1.00E-03								
vRP28_8	Deterministic	Cytoplasm	cyt_prot_p_EGF__EGFR__NRG1__ERBB4__PI3K1_ + cyt_lipid_PIP2_ ; cyt_mixed_p_EGF__EGFR__NRG1__ERBB4__PI3K1__PIP2_	1.00E-03								
